name	charge	inchikey
Leucine	0	ROHFNLRQFUQHCH-YFKPBYRVSA-N|ROHFNLRQFUQHCH-YFKPBYRVSA-O|ROHFNLRQFUQHCH-YFKPBYRVSA-N
Aspartyl-4-phosphate	-2	IXZNKTPIYKDIGG-REOHCLBHSA-L
Aspartate 4-semialdehyde	0	HOSWPDPVFBCLSY-VKHMYHEASA-N
2,3-Dihydrodipicolinate	-2	UWOCFOFVIBZJGH-YFKPBYRVSA-N|UWOCFOFVIBZJGH-YFKPBYRVSA-L
2,3,4,5-Tetrahydrodipicolinate	-2	CXMBCXQHOXUCEO-BYPYZUCNSA-L
Diaminopimelate	0	GMKMEZVLHJARHF-UHFFFAOYSA-L|GMKMEZVLHJARHF-UHFFFAOYSA-N
meso-Diaminopimelate	0	GMKMEZVLHJARHF-SYDPRGILSA-N|GMKMEZVLHJARHF-SYDPRGILSA-N
Lysine	1	KDXKERNSBIXSRK-YFKPBYRVSA-N
Homoserine	0	UKAUYVFTDYCKQA-UHFFFAOYSA-N|UKAUYVFTDYCKQA-VKHMYHEASA-N
O-Phosphohomoserine	-2	FXDNYOANAXWZHG-VKHMYHEASA-N
Cystathionine	0	ILRYLPWNYFXEMH-UHFFFAOYSA-N|ILRYLPWNYFXEMH-WHFBIAKZSA-N
Homocysteine	0	FFFHZYDWPBMWHY-VKHMYHEASA-N
5,10-Methylenetetrahydrofolate	-2	QYNUQALWYRSVHF-ABLWVSNPSA-N
5-Methyltetrahydrofolate	-1	ZNOVTXRBGFNYRX-STQMWFEESA-N
Homocysteine	0	FFFHZYDWPBMWHY-VKHMYHEASA-N
Methionine	0	FFEARJCKVFRZRR-BYPYZUCNSA-N
Adenosylmethionine	0	MEFKEPWMEQBLKI-AIRLBKTGSA-N|MEFKEPWMEQBLKI-AIRLBKTGSA-O|MEFKEPWMEQBLKI-AIRLBKTGSA-O
Adenosylhomocysteine	0	ZJUKTBDSGOFHSH-WFMPWKQPSA-N
Prephenate	-2	FPWMCUPFBRFMLH-UHFFFAOYSA-N
Arogenate	-1	MIEILDYWGANZNH-DSQUFTABSA-M
Phenylalanine	0	COLNVLDHVKWLRT-QMMMGPOBSA-N|COLNVLDHVKWLRT-QMMMGPOBSA-N|COLNVLDHVKWLRT-QMMMGPOBSA-O
Arginine	1	ODKSFYDXXFIFQN-BYPYZUCNSA-N
Ornithine	1	AHLPHDHHMVZTML-BYPYZUCNSA-N
Urea	1	XSQUKJJJFZCRTK-UHFFFAOYSA-N
Glutamate 5-semialdehyde	0	KABXUUFDPUOJMW-BYPYZUCNSA-N
Glutamate 5-phosphate	-2	PJRXVIJAERNUIP-VKHMYHEASA-N
Glutamate 5-phosphate	-2	PJRXVIJAERNUIP-VKHMYHEASA-N
Glutamate 5-phosphate	-2	PJRXVIJAERNUIP-VKHMYHEASA-N
Glutamate 5-semialdehyde	0	KABXUUFDPUOJMW-BYPYZUCNSA-N
Glutamate 5-semialdehyde	0	KABXUUFDPUOJMW-BYPYZUCNSA-N
1-Pyrroline-5-carboxylate	-1	DWAKNKKXGALPNW-SCSAIBSYSA-M
1-Pyrroline-5-carboxylate	-1	DWAKNKKXGALPNW-SCSAIBSYSA-M
1-Pyrroline-5-carboxylate	-1	DWAKNKKXGALPNW-SCSAIBSYSA-M
Proline	0	ONIBWKKTOPOVIA-BYPYZUCNSA-N
Proline	0	ONIBWKKTOPOVIA-BYPYZUCNSA-N
